Алексис Нинон Жуниор,en:Alexis Nihon Jr.,
Аль Капоне,en:Al Capone,
Америго Веспуччи,en:Amerigo Vespucci,
Андрей Колмогоров,null,
Антонио Страдивари,en:Antonio Stradivari,
Аркадий Райкин,en:Arkady Raikin
Асанга,null,
Ашока хаан,null,
Бабрак Кармаль,null,
Басан Городовиковь,en:Basan Gorodovikov
Батыр Боромангнаев,null,
Францын IV Филипп,en:Philip IV of France
Кан Сын-юнь,en:Kang Seung-yoon
Ли Сын-Ги,null
Бернар Арно,null
Валдас Адамкус
Валентин Райчев
Валентин Серов
Валерий Лобановский
Василий Суриков
Василий Шуйский
Ватанабэ Осамү
Вацлав Заторски
Виктор Лялин
Винченцо Перуджа
Владимир Маяковский
Владимир Познер
Владислав Гомулка
Владислав Котвич
Владислав Ховалыг
Вячаслав Володин
Галсан Гомбоев
Гарамгай Мэргэн
Георгий Дамбаев
Георгий Данелия
Гжегож Лато
Гу Вэйзюнь
Дархан Кыдырали
Дмитрий Устинов
Дмитрий Шостакович
Доналд Рамсфелд
Евгений Примаков
Жаред Хассельхофф
Жасрайн Жамъянсэнгэ
Жеймс Бейкер
Жеймс Мэдисон
Жин Дэвис
Жиованни Поджи
Жоаккино Россини
Жозеф Най
Жон Адамс
Жон Жэй
Жон Мартин Бойл
Жон Мейнард Кейнс
Жон Нэйш
Жорж Маршалл
Жорж Помпиду
Жулиан Ассанж
Зепп Блаттер
Зоя Касьяненко
Зураб Жвания
И Сүн-шин
Иван Крылов
Икаро Валдеррама
Илья Березин
Иосип Броз Тито
Исай Калистратович Калашников
Кавагүчи Такао
Карим Абдул Жаббар
Карл Юнг
Катрин Денёв
Кемаль Янилмаз
Ким Ю Шин
Кишими Ичиро
Клаудио Монтеверди
Кобаяши Хироюүки
Кодекс Куманикус
Коко Шанэль
Константин Боборыкин
Константин Станиславский
Котэ Махарадзе
Кристофер Кэмпбелл
Курманбек Бакиев
Лааганы Найдан
Лайош Лигети
Леланд Стэнфорд
Леонид Филатов
Ли Дэнхуэй
Ли Пэн
Линдон Жонсон
Лорика Сегментата
Лоурэнс Томпсон
Лэйтон Мистер
Лю Сяобо
Лю Шаоцы
Людвиг Витгенштейн
Ма Тиань Юү
Мадлен Олбрайт
Мануэль Рохас
Марек Грехута
Марио Корбел
Марта Вашингтон
Милош Земан
Мирослав Гермашевски
Михаил Певцов
Михаил Пыльцов
Михалы Фодор
Михаэль Коолхаас
Монцойн Ганзориг
Мохамед бин Салман
Мстислав Келдыш
Муслим Магомаев
Мухаммед Фарахваши-Фашанди
Нацумэ Сосэки
Никола Амати
Николай Любарский
Николай Михайлович Карамзин
Николай Рощин
Николай Цискаридзе
Николло Паганини
Нородом Сианук
Олег Блохин
Олег Табаков
Павел Шастин
Паул Рачневский
Петр Павел
Пласидо Доминго
Пол Аллен
Поль Гоген
Поль Пеллио
Проспер Меримэ
Пьер де Кубертэн
Пэрэнлэйн Батмөнх
Пэрэнлэйн Эрдэнэбаяр
Ражив Ганди
Рафаэль Санти
Реувен Шилоах
Рихард Зорге
Ричард Сандерс
Ричард Столлман
Робер де Сорбон
Роберта Амайон
Род Стюарт
Рой Чапмен Эндрюс
Русудан
Руфат Алимарданов
Саадвани Раунак
Савва Лукич Рагузинский-Владиславич
Саид Рахимов
Сергей Чуцкаев
Сергей Юльевич Витте
Сидней Марш
Станислав Шушкевич
Степан Бандера
Стефан Цвейг
Стифен Вебстер
Сушил Кумар
Сэмуэл Филлипс Хантингтон
Тавхайн Чулуунгэрэл
Тадеуш Мазовецки
Тамара Синявская
Теодор Рузвельт
Теодул Тулотт
Томас Пекхэм
Уилер Тэкстон
Уиллиам Роуан Хэмилтон
Уильям Жеймс Сидис
Уильям Тафт
Улоф Палмэ
Ураи-Кёхальми Каталин
Фёдор Фёдорович Ушаков
Фердинанд Вербист
Фердинанд Маркос
Франк Швальба-Хот
Франсуа Кальер
Франсуа Миттеран
Франтишек Гонгор
Франческо Петрарка
Фредерик Бартольди
Фэйянгу
Хавидений Айдос
Хадаан
Хадай
Халима Якоб
Хамид Карзай
Харри Гордон Селфриж
Хельмут Коль
Хенрик Сиенкевич
Хишилиг
Хожин бэхи
Хулиан Альварес
Честер Артур
Чин Хай
Шарль Гуно
Шерил Кара Сэндберг
Шон Уайт
Эдуард Мане
Эдуард Шеварднадзе
Эльжбиета Витек
Эмиль Литтре
Эмир Кустурица
Эүминиз
Юзеф Пилсудски
Юйчужянь шаньюй
Юн Сок Ёл
Ян III Собиески
Ян Юнг-Мо
