,Y/N,Төрөл,Юу,Он,Хаанахын,Ямар
Асгарсан хормойтой дээл (Д.Норов, С.Баатарсүх)=1=Монголын дуу
Бурхан ээж минь дээ (С.Чулуунбаатар, С.Баатарсүх)=1=2002 оны дуу=Монголын дуу
Зүрхнээ сүмбэрлэх нутаг (Ж.Жаргалсайхан, С.Баатарсүх)=1=2014 оны дуу= Монголын дуу
КАСПЕР (Б.Нацагдорж, С.Баатарсүх)=1=Монголын дуу=1999 оны дуу
Одод (Бя.Энхтуяа, С.Баатарсүх)=1=Монголын дуу
Охин үр (Бя.Энхтуяа, С.Баатарсүх)=1=Монголын дуу=1994 оны дуу
Учрахын ерөөл (Б.Лхагвасүрэн, С.Баатарсүх)=1=Монголын дуу=1974 оны дуу
Халтар манан хөөрөг (З.Түмэнжаргал, С.Баатарсүх)=1=Монголын дуу=1993 оны дуу
Хувиршгүй гэлээ (С.Оюун, С.Баатарсүх)=1=Монголын дуу=1979 оны дуу
Хүрээ байшин (Л.Дашням, С.Баатарсүх)=1=Монголын дуу
Цас цагаан охин (Бя.Энхтуяа, С.Баатарсүх)=1=Монголын дуу=2000 оны дуу
Өлгийн дуу (Б.Явуухулан, С.Баатарсүх)=1=Монголын дуу=1988 оны дуу=Бэгзийн Явуухулан
“00” цаг (З.Түмэнжаргал, С.Баатарсүх)=1=Монголын дуу=1998 оны дуу
